Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Avenida del Cerro del Águila,23,San Sebastián de los Reyes,Madrid,Comunidad de Madrid,28703,España,40.5472607,-3.6111118
Calle de José Ortega y Gasset,67,Madrid,Madrid,Comunidad de Madrid,28006,España,40.4299719,-3.6739552
Plaza de la Corredera,25,San Martín de Valdeiglesias,Madrid,Comunidad de Madrid,28680,España,40.3616773,-4.3999507
Carretera de Húmera,96,Pozuelo de Alarcón,Madrid,Comunidad de Madrid,28224,España,40.4316994,-3.7955784
Avenida de la Hispanidad,12,Madrid,Madrid,Comunidad de Madrid,28042,España,40.4902843,-3.5915691
Calle Uceda,24,Talamanca de Jarama,Madrid,Comunidad de Madrid,28160,España,40.7460294,-3.512628
Calle General Martinez Benito,14,San Martín de Valdeiglesias,Madrid,Comunidad de Madrid,28680,España,40.3617228,-4.3962626
Avenida de la Cabrera,87,La Cabrera,Madrid,Comunidad de Madrid,28751,España,40.8756689,-3.6035123
Avenida del Monasterio de El Escorial,10,Madrid,Madrid,Comunidad de Madrid,28049,España,40.5043889,-3.7086404
Calle del Doctor Félix Rodríguez de la Fuente,37,San Martín de Valdeiglesias,Madrid,Comunidad de Madrid,28680,España,40.3630638,-4.403352
Avenida Olímpica,9,Alcobendas,Madrid,Comunidad de Madrid,28108,España,40.5349368,-3.6366807
Calle de San Francisco,6,Torrelaguna,Madrid,Comunidad de Madrid,28180,España,40.8258942,-3.5389823
Calle de Bernaldo de Quirós,5,Torrelaguna,Madrid,Comunidad de Madrid,28180,España,40.8276794,-3.535522
Calle de José Ortega y Gasset,100,Madrid,Madrid,Comunidad de Madrid,28006,España,40.429532,-3.6708832
Via Olímpica,6,Navas del Rey,Madrid,Comunidad de Madrid,28695,España,40.3883215,-4.2502594
Calle del Arte,14,Madrid,Madrid,Comunidad de Madrid,28033,España,40.48294,-3.6708937
Calle de Joaquín Lorenzo,68,Madrid,Madrid,Comunidad de Madrid,28035,España,40.4750219,-3.7315077
Camino de la Zarzuela,21,Madrid,Madrid,Comunidad de Madrid,28023,España,40.4650521,-3.7865321
Calle Galileo Galilei,18,Alcalá de Henares,Madrid,Comunidad de Madrid,28806,España,40.4860015,-3.4011242
Calle de San Francisco,13,Torrelaguna,Madrid,Comunidad de Madrid,28180,España,40.8255122,-3.539408
Avenida de los Encuartes,17,Tres Cantos,Madrid,Comunidad de Madrid,28760,España,40.6017816,-3.7140282
Calle de la Vega,17,Tielmes,Madrid,Comunidad de Madrid,28550,España,40.24483,-3.3144661
Los Huertos,1,Chinchón,Madrid,Comunidad de Madrid,28370,España,40.1395675,-3.4235022
estación,10,Santa María de la Alameda,Madrid,Comunidad de Madrid,28296,España,40.5675699,-4.2683856
